Taxon,dr_idx,cp_idx,distance
Ailanthus_altissima,1,1,5.999999999999999
Potentilla_recta,1,1,6.33050449788761
Potentilla_recta,2,1,4.114458235100195
Potentilla_recta,1,2,6.923186464820608
Potentilla_recta,2,2,6.28754174166628
Salsola_kali,1,1,6.336969920938299
Salsola_kali,2,1,6.556404789058941
Andropogon_gerardii,1,1,4.481787333208852
Andropogon_gerardii,2,1,4.253838467594743
Andropogon_gerardii,3,1,6.237476078920682
Andropogon_gerardii,4,1,5.091089899406928
Ratibida_columnifera,1,1,5.999999999999997
Agrimonia_eupatoria,1,1,4.2472741981978865
Agrimonia_eupatoria,2,1,5.7094669499290704
Pimpinella_saxifraga,1,1,5.8309518948453
Thymus_vulgaris,1,1,5.999999999999997
Carduus_nutans,1,1,6.100040984932974
Carduus_nutans,1,2,7.656919892489716
Carduus_nutans,1,3,6.83966580110947
Carduus_nutans,1,4,5.037158031630912
Armeria_maritima,1,1,5.999999999999998
Sphaeralcea_coccinea,1,1,5.999999999999998
Poa_alpina,1,1,5.999999999999998
Primula_elatior,1,1,5.9999999999999964
Stenaria_nigricans,1,1,5.999999999999997
Scabiosa_columbaria,1,1,5.999999999999998
