Model,Treatment,Marginal R2,Conditional R2,ICC,Prop. of var. (fixed),Prop. of var. (random),Prop. of var. (residual)
Ordered_beta,Disturbance,0.30694665645670166,0.00626006312769773,0.30258076803815,0.626006312769773,30.06865933290039,69.30533435432984
Hurdle,NPK,0.05578723598268945,8.274161157152572e-4,0.055005332165258006,0.08274161157152572,5.49598198669742,94.42127640173106
Ordered_beta,Disturbance,0.4825222355793248,0.0017293977380394236,0.48162576034180193,0.17293977380394238,48.079283784128535,51.747776442067526
Hurdle,NPK,0.08551873444913244,3.3894799002381757e-4,0.08520866776578044,0.03389479900238176,8.517978645910862,91.44812655508676
