time_period_cover_change,experiment,Demo_trait,Comm_var,term,estimate,std.error,statistic,p.value,hypoth,model
T0-T1,DIST,Lambda,site_time_shan,Demo_value,0.01064066392095345,0.026282675119037962,0.4048546760464974,0.6870484762737159,H4,Lambda_site_time_shan_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_shan,Comm_value,0.07721932884349746,0.03605630365104871,2.141631865285545,0.036362948883632236,H4,Lambda_site_time_shan_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_shan,Demo_value:Comm_value,-0.0045588334375648775,0.03400130640712172,-0.13407818461381266,0.8937970691713688,H4,Lambda_site_time_shan_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_invsimp,Demo_value,-0.005707231198613285,0.033152259063160036,-0.17215210546406964,0.8638878300544722,H4,Lambda_site_time_invsimp_T0-T1_DIST
T0-T1,DIST,Lambda,meanSigmas,Demo_value,-0.01727712274739479,0.03739450457551655,-0.4620230417147098,0.6461521507663975,H4,Lambda_meanSigmas_T0-T1_DIST
T0-T1,DIST,Lambda,meanSigmas,Comm_value,-0.015798009882949552,0.03124422330426549,-0.5056297840757269,0.6154307380878179,H4,Lambda_meanSigmas_T0-T1_DIST
T0-T1,DIST,Lambda,meanSigmas,Demo_value:Comm_value,-0.061576915385349706,0.035426277902877105,-1.7381706188317572,0.08859269439475113,H4,Lambda_meanSigmas_T0-T1_DIST
T0-T1,DIST,Lambda,sigmaonMeans,Demo_value,-0.01233312949264308,0.03668002166854627,-0.33623561087530507,0.738158696584549,H4,Lambda_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Lambda,sigmaonMeans,Comm_value,-0.020628399887425757,0.033124773389390946,-0.6227484078134864,0.5363974521186713,H4,Lambda_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Lambda,sigmaonMeans,Demo_value:Comm_value,-0.062265499424428425,0.03567742332838103,-1.745235322947127,0.08734323527128175,H4,Lambda_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Lambda,variability,Demo_value,0.0066198438589080005,0.033202564922200174,0.1993774840714726,0.8428096789374233,H4,Lambda_variability_T0-T1_DIST
T0-T1,DIST,Lambda,variability,Comm_value,0.012435380890973553,0.032360053481405394,0.38428183989618936,0.7024667823466699,H4,Lambda_variability_T0-T1_DIST
T0-T1,DIST,Lambda,variability,Demo_value:Comm_value,0.048228737238879486,0.025738015187186356,1.8738328067694245,0.06704779416911523,H4,Lambda_variability_T0-T1_DIST
T0-T1,DIST,Lambda,mean_cover,Demo_value,-0.01190231143453333,0.034909849785889256,-0.3409442179652204,0.7343567336236057,H4,Lambda_mean_cover_T0-T1_DIST
T0-T1,DIST,Lambda,mean_cover,Comm_value,-0.015923105662393494,0.022096917874909184,-0.7206030158836773,0.4739993127855978,H4,Lambda_mean_cover_T0-T1_DIST
T0-T1,DIST,Lambda,mean_cover,Demo_value:Comm_value,0.021668989619455147,0.01949326982570779,1.1116138961395798,0.27081350718371716,H4,Lambda_mean_cover_T0-T1_DIST
T0-T1,DIST,R0,site_time_rich,Demo_value,9.890154713179688e-4,0.021435149372512403,0.046139891732513115,0.96328985776064,H1,R0_site_time_rich_T0-T1_DIST
T0-T1,DIST,R0,site_time_rich,Comm_value,0.015555629000301996,0.028495601652547713,0.5458957908653671,0.5863413132994377,H1,R0_site_time_rich_T0-T1_DIST
T0-T1,DIST,R0,site_time_rich,Demo_value:Comm_value,0.006909562661654757,0.023965159354042895,0.288316992162588,0.7736949525453776,H1,R0_site_time_rich_T0-T1_DIST
T0-T1,DIST,R0,site_time_simp,Demo_value,0.006060165107406162,0.031835233114308546,0.1903603182563907,0.84940888174089,H1,R0_site_time_simp_T0-T1_DIST
T0-T1,DIST,R0,site_time_simp,Comm_value,0.022772471382112643,0.03026467099604238,0.7524440422659981,0.4535341723232711,H1,R0_site_time_simp_T0-T1_DIST
T0-T1,DIST,R0,site_time_simp,Demo_value:Comm_value,0.004029627633198341,0.03365364241756141,0.11973823169570404,0.9049283679449248,H1,R0_site_time_simp_T0-T1_DIST
T0-T1,DIST,R0,site_time_shan,Demo_value,0.0054903397902196106,0.026284048691367707,0.20888485844354587,0.8349588291462365,H1,R0_site_time_shan_T0-T1_DIST
T0-T1,DIST,R0,site_time_shan,Comm_value,0.041356371009073294,0.027852278228247422,1.484846972666322,0.14069881226297953,H1,R0_site_time_shan_T0-T1_DIST
T0-T1,DIST,R0,site_time_shan,Demo_value:Comm_value,-5.863843096596176e-4,0.036233310192566655,-0.016183569940013808,0.9871198690967649,H1,R0_site_time_shan_T0-T1_DIST
T0-T1,DIST,R0,site_time_invsimp,Demo_value,-0.0017939132654969793,0.020122773135640402,-0.08914841177231651,0.9291370774207662,H1,R0_site_time_invsimp_T0-T1_DIST
T0-T1,DIST,R0,meanSigmas,Demo_value,0.020403806368905444,0.042281267977083654,0.48257319009364286,0.6307333244790481,H1,R0_meanSigmas_T0-T1_DIST
T0-T1,DIST,R0,meanSigmas,Comm_value,0.03847178108160008,0.034541309715727206,1.1137904554928693,0.26874638463093126,H1,R0_meanSigmas_T0-T1_DIST
T0-T1,DIST,R0,meanSigmas,Demo_value:Comm_value,0.007022646317919841,0.029976655464647353,0.23427050846956304,0.8153810607575314,H1,R0_meanSigmas_T0-T1_DIST
T0-T1,DIST,R0,sigmaonMeans,Demo_value,0.016425486137472904,0.03617908748407055,0.45400498685062063,0.651070092972194,H1,R0_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,R0,sigmaonMeans,Comm_value,0.029593796807396815,0.03294781663089662,0.8982020611236925,0.3718072288802433,H1,R0_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,R0,sigmaonMeans,Demo_value:Comm_value,0.009033502910597787,0.030775241506658706,0.2935315035186075,0.769885669046926,H1,R0_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,R0,variability,Demo_value,0.01830927536402876,0.042802694775559966,0.42775987493393114,0.6699897750895771,H1,R0_variability_T0-T1_DIST
T0-T1,DIST,R0,variability,Comm_value,0.0012038869096753814,0.028932625588243013,0.04161001240636072,0.9669145762975111,H1,R0_variability_T0-T1_DIST
T0-T1,DIST,R0,variability,Demo_value:Comm_value,0.012062012209523196,0.03258691163659633,0.37014898324937007,0.7122620101661232,H1,R0_variability_T0-T1_DIST
T0-T1,DIST,R0,mean_cover,Demo_value,-0.005680232247777369,0.021542170204677028,-0.263679666152862,0.7925639906519427,H1,R0_mean_cover_T0-T1_DIST
T0-T1,DIST,R0,mean_cover,Comm_value,0.017850681822047902,0.027022332868874,0.6605899612246071,0.5103791934215749,H1,R0_mean_cover_T0-T1_DIST
T0-T1,DIST,R0,mean_cover,Demo_value:Comm_value,0.009928439481556348,0.015462523959938404,0.6420969504900866,0.5222649705383888,H1,R0_mean_cover_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_rich,Demo_value,-0.04129554340815519,0.022456077853101657,-1.8389472853760793,0.06958758413750744,H3,Reactivity_site_time_rich_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_rich,Comm_value,0.02112681231877423,0.028199635563572356,0.7491874237575383,0.4559144910209222,H3,Reactivity_site_time_rich_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_rich,Demo_value:Comm_value,0.02528327174271196,0.02168302842766647,1.1660396898457117,0.24702031047131934,H3,Reactivity_site_time_rich_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_simp,Demo_value,-0.0584529284514016,0.02617128796947847,-2.233475422362502,0.02827543463494181,H3,Reactivity_site_time_simp_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_simp,Comm_value,0.010037384922424642,0.02482536106757205,0.4043197959982908,0.6870431912285178,H3,Reactivity_site_time_simp_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_simp,Demo_value:Comm_value,-0.03379591026857482,0.027043810388768772,-1.249672652734253,0.21501798803296482,H3,Reactivity_site_time_simp_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_shan,Demo_value,-0.028969375613905626,0.03134542933695184,-0.9241977610992496,0.35812845208756483,H3,Reactivity_site_time_shan_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_shan,Comm_value,0.03940619333893243,0.028790801060378256,1.3687077777479078,0.17487468037646192,H3,Reactivity_site_time_shan_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_shan,Demo_value:Comm_value,0.009894026828466232,0.033938351231996566,0.29152938988792987,0.7713917543500017,H3,Reactivity_site_time_shan_T0-T1_DIST
T0-T1,DIST,Reactivity,site_time_invsimp,Demo_value,-0.04826478808254187,0.023742854529690362,-2.032813199532807,0.04526788914073358,H3,Reactivity_site_time_invsimp_T0-T1_DIST
T0-T1,DIST,Reactivity,meanSigmas,Demo_value,-0.0546619705381243,0.037246038509397984,-1.4675915271991113,0.14727007910961026,H3,Reactivity_meanSigmas_T0-T1_DIST
T0-T1,DIST,Reactivity,meanSigmas,Comm_value,0.06345498166036431,0.04110134640300885,1.5438662529001494,0.12770995422322137,H3,Reactivity_meanSigmas_T0-T1_DIST
T0-T1,DIST,Reactivity,meanSigmas,Demo_value:Comm_value,0.024298398250331758,0.028582847222667518,0.8501041922465304,0.3985381450485188,H3,Reactivity_meanSigmas_T0-T1_DIST
T0-T1,DIST,Reactivity,sigmaonMeans,Demo_value,-0.07691957254390384,0.0515980992174873,-1.4907443047404885,0.14109902961374937,H3,Reactivity_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Reactivity,sigmaonMeans,Comm_value,0.07055789651125888,0.04688103856127295,1.5050412421866584,0.13739122975226345,H3,Reactivity_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Reactivity,sigmaonMeans,Demo_value:Comm_value,0.0721530360304161,0.049857398089989353,1.4471881565135947,0.15288174387154999,H3,Reactivity_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,Reactivity,variability,Demo_value,-0.020240657825691677,0.02869548877619043,-0.7053602739983994,0.4832277971393708,H3,Reactivity_variability_T0-T1_DIST
