group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Bromus_tectorum_Wallula Gap Biological Station-South Face,-2.389,0.216,-2.813,-1.965,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_jacea_Agroscope Changins,-2.847,0.284,-3.403,-2.291,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_jacea_Bayreuth DRAGNet,-2.429,0.281,-2.979,-1.879,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_stoebe_Blandy Experimental Farm,-1.323,0.366,-2.04,-0.606,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_stoebe_Cary IES,-2.202,0.303,-2.795,-1.609,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_stoebe_Churning Rapids,-1.855,0.309,-2.46,-1.25,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_stoebe_Millville,-2.52,0.48,-3.46,-1.58,Hurdle_cond,1,DIST
taxon_site,Intercept,Centaurea_stoebe_University of Michigan Biological Station,-2.005,0.262,-2.519,-1.491,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Agroscope Changins,-3.113,0.261,-3.624,-2.602,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Bad Lauchstaedt,-2.784,0.462,-3.689,-1.879,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Bayreuth DRAGNet,-2.692,0.324,-3.327,-2.057,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Hazelrigg,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Jena,-1.915,0.257,-2.418,-1.412,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Lublin,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Stoderzinken,-2.823,0.416,-3.638,-2.008,Hurdle_cond,1,DIST
taxon_site,Intercept,Cerastium_fontanum_Wytham Woods,-2.675,0.251,-3.167,-2.183,Hurdle_cond,1,DIST
taxon_site,Intercept,Chamaecrista_fasciculata_Kellogg Biological Station (KBS),-2.687,0.284,-3.245,-2.129,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Ainsdale Dune Slacks,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Bad Lauchstaedt,-2.433,0.281,-2.983,-1.883,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Blandy Experimental Farm,-1.291,0.24,-1.761,-0.821,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Hazelrigg,-2.278,0.319,-2.904,-1.652,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Jena,-2.149,0.493,-3.114,-1.184,Hurdle_cond,1,DIST
taxon_site,Intercept,Cirsium_arvense_Lublin,-2.312,0.304,-2.907,-1.717,Hurdle_cond,1,DIST
