MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType,DRAGnet,T_generation,R0,percapita_repro,Lmean,age_repro,Lambda,Reactivity,FirstStepAtt,Lmax
238286,Caladenia_argocalla,Caladenia argocalla,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Adelaide Hills and Clare Valley, SA",Unmanipulated,2003,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,5.29848272074155,0.9828277046365198,0.41535452070163253,2.269333794083955,1,0.996727266276321,1.0032834796783534,0.9972637788002832,9
238287,Caladenia_clavigera,Caladenia clavigera,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic",Unmanipulated,1997,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,10.47804255838635,0.5623872519542996,0.1686217874244036,5.889553121109682,1,0.9362588827079544,1.068080654260589,0.7571623758053314,25
238288,Caladenia_elegans,Caladenia elegans,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,Western Australia,Unmanipulated,1998,7,Summer,2007,8,Summer,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,7.6574081296085525,0.6380262249827469,0.327057026346439,3.009325878542788,1,0.938188326629949,1.0658840785112769,0.954072838675444,12
238289,Caladenia_graniticola,Caladenia graniticola,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,Western Australia,Unmanipulated,2004,9,Spring,2007,9,Spring,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,6.117185207441021,0.7727784026996625,0.2730489800504379,3.6505063176838943,1,0.956631665923216,1.045334412001646,0.9186398812670464,15
238290,Caladenia_macroclavia,Caladenia macroclavia,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Yorke Peninsula, SA",Unmanipulated,2001,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,4.225805785957757,0.9565804447700325,0.4349381120797533,2.305822755950447,1,0.9894883747016936,1.0107243557070649,0.9871768329713638,9
238291,Caladenia_oenochila,Caladenia oenochila,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic.",Unmanipulated,1997,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,7.627164247344322,0.654055390702275,0.25056897254952115,3.9432902989681433,1,0.9412002536919256,1.062473151784042,0.9138331578494544,16
238292,Caladenia_rosella,Caladenia rosella,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic",Unmanipulated,2004,8,Summer,2007,9,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,8.599328878935761,0.5567765567765569,0.2127274739646594,4.483400685917909,1,0.9246704654320529,1.0814663573500742,0.8197514988713563,19
238293,Caladenia_valida,Caladenia valida,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Raymond Island, Vic.",Unmanipulated,2000,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,9.446309466575658,0.7945690672963401,0.38942560699126144,2.5500879466165287,1,0.9745940933280424,1.0260681927439161,0.990361019636428,10
238301,Carex_membranacea,Carex membranacea,Cyperaceae,Liliopsida,Plantae,Tolvanen; Schroderus; Henry,10.2307/3236906,2001,CAN,N America,TUN,Short-term model (1yr) - ungrazed,Unmanipulated,1996,NA,NA,1996,NA,NA,Individual,78.883333,-75.916667,Divided,Yes,4,Herbaceous perennial,FALSE,Inf,0,NA,1.724936687656115,NA,0.46469337907518865,1.330068444766875,0,6
238307,Chamaedorea_radicalis_3,Chamaedorea radicalis,Arecaceae,Liliopsida,Plantae,Ash; Gorchov; Endress,10.1894/0038-4909-58.1.70,2013,MEX,N America,TMB,Control Treatment,Unmanipulated,1999,NA,NA,2003,NA,NA,Mean,NA,NA,Divided,NA,5,Palm,FALSE,6718.86515060083,1.0073814110775458e-5,189.0975276194021,1.2943669348739926,3.3116137824734038,0.5401351661528939,352.7877088823234,0.008166708654130028,4
238312,Chamaedorea_radicalis_3,Chamaedorea radicalis,Arecaceae,Liliopsida,Plantae,Ash; Gorchov; Endress,10.1894/0038-4909-58.1.70,2013,MEX,N America,TMB,1x treatment,Removal of marketable leaves,1999,NA,NA,2003,NA,NA,Mean,NA,NA,Divided,NA,5,Palm,FALSE,104364565.07112896,6.97903491525654e-10,0.04912997401996766,1.294388419688439,3.3116137824734038,0.46550286625559606,1.1066396976171295,0.009476045918477245,4
238313,Chamaedorea_radicalis_3,Chamaedorea radicalis,Arecaceae,Liliopsida,Plantae,Ash; Gorchov; Endress,10.1894/0038-4909-58.1.70,2013,MEX,N America,TMB,1x treatment,Removal of marketable leaves,1999,NA,NA,2000,NA,NA,Individual,NA,NA,Divided,NA,5,Palm,FALSE,411840.85076322855,1.0260980438101971e-7,0.01247044393228244,1.2997048281805017,3.319754281924877,0.27940091351292595,1.047643522716894,0.06715436660564807,4
