Taxon,Lat,Lon,Continent,MatrixID,Country,Ecoregion,DOI_ISBN
Veronica_arvensis,50.516667,13.983333,Europe,241086,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241087,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241088,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241089,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241090,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241091,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241092,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241093,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241094,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241095,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241096,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,50.516667,13.983333,Europe,241097,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Veronica_arvensis,38.5,-90.5,N America,241098,USA,TBM,10.1890/12-1310.1
Agrimonia_eupatoria,58.933333,17.133333,Europe,241411,SWE,FGS,10.1023/A:1015506019670
Agrimonia_eupatoria,58.933333,17.133333,Europe,241412,SWE,FGS,10.1023/A:1015506019670
Agrimonia_eupatoria,58.933333,17.133333,Europe,241418,SWE,FGS,10.1023/A:1015506019670
Agrimonia_eupatoria,58.933333,17.133333,Europe,241423,SWE,FGS,10.1023/A:1015506019670
Elymus_repens,NA,NA,Europe,241442,GBR,TBM,NA
Alliaria_petiolata,NA,NA,N America,241453,USA,NA,10.1023/A:1010017510471
Alliaria_petiolata,38.5,-90.5,N America,241454,USA,TMB,10.1890/12-1310.1
Alliaria_petiolata,40.716667,-89.5,N America,241455,USA,TBM,10.1890/11-1291.1
