site_ID,site_name,site_code,continent,country,state,first_year,latitude,longitude,habitat,elevation,slope,aspect,invaded,grazed,burned,managed,agricultural,anthropogenic,experiment_type_ID,region_ID,year_last_mowed,year_last_plowed,year_last_cropped,mowed,year_last_burned,year_restored,mowing_frequency,active,hide_site,burn_frequency
333,San Claudio,sanc_dn.ar,South America,AR,NULL,2021,-35.922282,-61.158115,old field,85,0.5,180,0,0,0,0,1,0,6,0,2005,1995,2004,0,2016,NULL,NULL,1,0,NULL
334,Sierra Foothills REC,sier_dn.us,North America,US,California,0,39.2634,-121.3225,annual grassland,0,5,0,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
335,Temple,temple_dn.us,North America,US,Texas,2021,31.098056,-97.3425,Tallgrass Prairie,194,2,90,0,0,0,1,0,0,6,0,2022,NULL,NULL,1,NULL,NULL,Annually,1,0,NULL
336,Ukulinga,ukul_dn.za,Africa,ZA,NULL,2020,-29.67037,30.400944,Mesic grassland,842,2,151,0,0,1,1,0,0,6,0,2017,NULL,NULL,0,2022,NULL,NULL,1,0,Annually
337,University of Michigan Biological Station,umbs_dn.us,North America,US,Michigan,2021,45.562015,-84.6797,grassland,237,0,0,0,0,0,1,0,1,6,0,2020,NULL,NULL,0,NULL,1994,NULL,1,0,NULL
338,University of Wyoming - SAREC,uwyo_dn.us,North America,US,Wyoming,2021,42.082122,-104.401151,Annual grassland,1340,0,0,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
339,WSL,wald_dn.ch,Europe,CH,NULL,2020,47.36187,8.457485,old field,555,9,285,0,0,0,1,1,1,6,0,2020,1995,1995,1,NULL,1995,Twice annually,1,0,NULL
340,Wytham Woods,wyth_dn.uk,Europe,UK,NULL,2021,51.771053,-1.332625,calcareous grassland,159,5,78,0,0,0,1,1,1,6,0,2021,1985,1985,1,NULL,1985,Twice annually,1,0,0
344,Wallula Gap Biological Station-South Face,wgso_dn.us,North America,US,Washington,2020,46.0042,-118.9117,Annual grassland,417,27,124,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,2015,NULL,NULL,1,0,NULL
345,Caracoles,cara_dn.es,Europe,ES,NULL,2021,37.066028,-6.317639,annual grassland,0,0.16,258,0,0,0,0,1,1,6,0,NULL,1985,1985,0,NULL,1995,0,1,0,NULL
346,Cary IES,cary_dn.us,North America,US,New York,2022,41.787495,-73.7404,old field,126.7164424,0,0,0,0,0,1,1,1,6,0,2020,NULL,1940,1,NULL,NULL,Every two years,1,0,NULL
347,Mendoza,mend_dn.ar,South America,AR,NULL,0,-32.89418,-68.87578,grassland,861,5,90,0,0,0,0,0,1,6,0,NULL,NULL,NULL,0,NULL,1975,Twice annually,1,0,NULL
348,Potrok Aike,potrok_dn.ar,South America,AR,NULL,0,-51.91602778,-70.40744444,grassland steppe,150,0,0,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
349,Piedmont Prairie,pied_dn.us,North America,US,Georgia,2022,33.890328,-83.3593,Oldfield,214,0,0,0,0,1,1,0,1,6,0,NULL,NULL,NULL,0,2021,NULL,NULL,1,0,Annually
350,Shortgrass Steppe LTER,sgs_dn.us,North America,US,Colorado,2021,40.81667,-104.76667,semiarid grassland,1650,0,0,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,0,1,0,NULL
351,Songyuan,song_dn.cn,Asia,CN,NULL,0,44.75,123.7,grassland steppe,140,10,173,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
352,Old Town Road,olro_dn.us,North America,US,Maryland,0,39.5445,-78.6762,tallgrass prairie,561,-9,135,0,0,1,1,1,1,6,0,2021,NULL,2021,1,NULL,2023,NULL,1,0,Every four years
353,Wallula Gap Biological Station-North Face,wgno_dn.us,North America,US,Washington,2020,46.0047,-118.9121,semiarid grassland,423,22,332,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,2015,NULL,NULL,1,0,NULL
354,Oak Lake Field Station,olfs_dn.us,North America,US,South Dakota,0,44.50936516,-96.53201183,tallgrass prairie,572.1,5,90,0,0,0,1,1,1,6,0,2022,1987,2018,1,NULL,NULL,Twice annually,1,0,0
