AccSpeciesName,LA_mean,LDMC_mean,SLA_mean,percent_c,percent_s,percent_r,C : S : R ,Strategy class,S (%),C (%),R (%),Red,Green,Blue,Colour values in SigmaPlot 
Gutierrezia sarothrae,174.3159012,37.58565825346454,55.05165475,5.13110838,47.72577968,47.14311194,5 : 48 : 47 %,SR,47.72577968,5.13110838,47.14311194,13,122,120,"@rgb(13,122,120)"
Helianthemum nummularium,182.8163594,18.632617282023656,16.32536985,20.17361702,25.79421333,54.03216964,20 : 26 : 54 %,R/CSR,25.79421333,20.17361702,54.03216964,51,66,138,"@rgb(51,66,138)"
Helianthus annuus,1613.266667,13.001832306758685,14.77085238,65.60107519,0,34.39892481,66 : 0 : 34 %,C/CR,0,65.60107519,34.39892481,167,0,88,"@rgb(167,0,88)"
Helictotrichon pubescens,693.3763846,27.09385524,22.93098227,20.39232826,43.53214116,36.07553059,20 : 44 : 36 %,SR/CSR,43.53214116,20.39232826,36.07553059,52,111,92,"@rgb(52,111,92)"
Helleborus niger,23812.77333,23.112912312169527,10.99613669,80.47971417,16.63786467,2.882421164,80 : 17 : 3 %,C/CS,16.63786467,80.47971417,2.882421164,205,42,7,"@rgb(205,42,7)"
Heteropogon contortus,424.6444759,52.072293776626076,23.87709703,9.473140327,66.55736411,23.96949556,9 : 67 : 24 %,S/SR,66.55736411,9.473140327,23.96949556,24,170,61,"@rgb(24,170,61)"
Hieracium umbellatum,754.1543671,18.753254059490377,21.42570116,32.67450936,16.73916479,50.58632585,33 : 17 : 51 %,R/CSR,16.73916479,32.67450936,50.58632585,83,43,129,"@rgb(83,43,129)"
Holcus lanatus,561.4556127,22.037957813516034,28.32841817,20.30598194,28.7271865,50.96683156,20 : 29 : 51 %,R/CSR,28.7271865,20.30598194,50.96683156,52,73,130,"@rgb(52,73,130)"
Holosteum umbellatum,52.4005,16.264,83.41533333,2.364634374,0,97.63536563,2 : 0 : 98 %,R,0,2.364634374,97.63536563,6,0,249,"@rgb(6,0,249)"
Hordeum murinum,248.589836,23.58576163259525,24.74881877,12.74269915,38.69522523,48.56207562,13 : 39 : 49 %,SR/CSR,38.69522523,12.74269915,48.56207562,32,99,124,"@rgb(32,99,124)"
Hydrocotyle vulgaris,424.3155179,11.849407422703983,29.51441529,24.26304565,0,75.73695435,24 : 0 : 76 %,R/CR,0,24.26304565,75.73695435,62,0,193,"@rgb(62,0,193)"
Hyparrhenia hirta,397.9856454,43.488920136527724,14.69597481,12.06521235,73.24304508,14.69174257,12 : 73 : 15 %,S/SR,73.24304508,12.06521235,14.69174257,31,187,37,"@rgb(31,187,37)"
Hypericum hirsutum,681.1,27.55,30.68000299,17.79445891,39.71327395,42.49226714,18 : 40 : 42 %,SR/CSR,39.71327395,17.79445891,42.49226714,45,101,108,"@rgb(45,101,108)"
Hypericum humifusum,90.26537944,23.015265676404823,42.53040427,4.539948,30.63834978,64.82170222,5 : 31 : 65 %,R/SR,30.63834978,4.539948,64.82170222,12,78,165,"@rgb(12,78,165)"
Hypericum perforatum,202.145007,32.132300201313285,36.36288345,7.18660135,47.86156062,44.95183803,7 : 48 : 45 %,SR,47.86156062,7.18660135,44.95183803,18,122,115,"@rgb(18,122,115)"
Hypericum tetrapterum,248.3,23.21666666666666,34.77678108,11.0052954,31.95912958,57.03557502,11 : 32 : 57 %,R/CSR,31.95912958,11.0052954,57.03557502,28,81,145,"@rgb(28,81,145)"
Hypochaeris glabra,894.4660819,10.176844453333334,28.91561923,34.24665112,0,65.75334888,34 : 0 : 66 %,R/CR,0,34.24665112,65.75334888,87,0,168,"@rgb(87,0,168)"
Hypochaeris radicata,1819.151777,12.400144188541692,37.97535679,38.71655419,0,61.28344581,39 : 0 : 61 %,CR,0,38.71655419,61.28344581,99,0,156,"@rgb(99,0,156)"
Ilex glabra,525.5416667,44,9.786906866,16.29204028,83.57499052,0.132969195,16 : 84 : 0 %,S/CS,83.57499052,16.29204028,0.132969195,42,213,0,"@rgb(42,213,0)"
Isatis tinctoria,1159.814286,21.171273773135997,17.99417318,36.80907358,28.81792309,34.37300334,37 : 29 : 34 %,CSR,28.81792309,36.80907358,34.37300334,94,73,88,"@rgb(94,73,88)"
Jacobaea erucifolia,772.4,22.794285969248858,14.13301953,33.10653977,42.94951429,23.94394594,33 : 43 : 24 %,CS/CSR,42.94951429,33.10653977,23.94394594,84,110,61,"@rgb(84,110,61)"
Jacobaea vulgaris,2370.727972,14.128111174354496,26.34109599,49.94363706,0,50.05636294,50 : 0 : 50 %,CR,0,49.94363706,50.05636294,127,0,128,"@rgb(127,0,128)"
Juglans regia,45615.37863,31.48405068,16.73670347,71.40412936,20.39386162,8.20200902,71 : 20 : 8 %,C/CS,20.39386162,71.40412936,8.20200902,182,52,21,"@rgb(182,52,21)"
Juncus effusus,2085.000866,29.949897015125256,8.571595268,42.56086272,57.43913728,0,43 : 57 : 0 %,CS,57.43913728,42.56086272,0,109,146,0,"@rgb(109,146,0)"
Juncus tenuis,122.25,17.05359473684211,9.224661335,3.327616617,96.67238338,0,3 : 97 : 0 %,S,96.67238338,3.327616617,0,8,247,0,"@rgb(8,247,0)"
Juniperus virginiana,53.84276759,50.41829994107469,2.00399589,2.167065351,97.83293465,0,2 : 98 : 0 %,S,97.83293465,2.167065351,0,6,249,0,"@rgb(6,249,0)"
Knautia arvensis,2214.856425,16.90157143085648,18.34354978,58.53301586,2.527486622,38.93949752,59 : 3 : 39 %,CR,2.527486622,58.53301586,38.93949752,149,6,99,"@rgb(149,6,99)"
Koeleria macrantha,181.4882436,33.81499250518079,15.50535268,8.897085493,69.51785949,21.58505501,9 : 70 : 22 %,S/SR,69.51785949,8.897085493,21.58505501,23,177,55,"@rgb(23,177,55)"
Krascheninnikovia ceratoides,51.66691944,34.90367305925726,8.839160675,3.080568025,96.91943198,0,3 : 97 : 0 %,S,96.91943198,3.080568025,0,8,247,0,"@rgb(8,247,0)"
Lactuca serriola,1789.034339,18.82743964575605,20.66668713,45.27329889,14.41742091,40.3092802,45 : 14 : 40 %,CR/CSR,14.41742091,45.27329889,40.3092802,115,37,103,"@rgb(115,37,103)"
Lamium album,1023.558674,18.074718533261528,36.15974967,29.16485848,8.730261328,62.10488019,29 : 9 : 62 %,R/CR,8.730261328,29.16485848,62.10488019,74,22,158,"@rgb(74,22,158)"
Lamium amplexicaule,116.4331267,14.506664190055718,33.60315161,9.651476654,0,90.34852335,10 : 0 : 90 %,R,0,9.651476654,90.34852335,25,0,230,"@rgb(25,0,230)"
Lamium purpureum,373.9161545,14.231747201039447,37.39165277,19.57834288,0,80.42165712,20 : 0 : 80 %,R/CR,0,19.57834288,80.42165712,50,0,205,"@rgb(50,0,205)"
Lantana camara,1530.003824,30.437813828619824,16.82484679,29.74862701,49.16567479,21.0856982,30 : 49 : 21 %,S/CSR,49.16567479,29.74862701,21.0856982,76,125,54,"@rgb(76,125,54)"
Larix decidua,17.97333333,38.31843470178367,12.24371355,0,88.54525803,11.45474197,0 : 89 : 11 %,S,88.54525803,0,11.45474197,0,226,29,"@rgb(0,226,29)"
Lathyrus pratensis,671.6364583,29.427279213076236,27.14741286,17.54535398,44.63866858,37.81597744,18 : 45 : 38 %,SR/CSR,44.63866858,17.54535398,37.81597744,45,114,96,"@rgb(45,114,96)"
Lepidium campestre,195.3333333,18.77557142857143,26.56028515,13.88013416,17.94601707,68.17384877,14 : 18 : 68 %,R/SR,17.94601707,13.88013416,68.17384877,35,46,174,"@rgb(35,46,174)"
Lepidium densiflorum,244.7163636,16.63813953488372,30.22613718,17.53797161,0.568049388,81.893979,18 : 1 : 82 %,R/CR,0.568049388,17.53797161,81.893979,45,1,209,"@rgb(45,1,209)"
Lepidium virginicum,133.157185,19.776232831998662,20.13586631,11.90010314,29.85816121,58.24173565,12 : 30 : 58 %,R/CSR,29.85816121,11.90010314,58.24173565,30,76,149,"@rgb(30,76,149)"
